Nervous System Diseases
53763.047
55974.64
59436.742
63805.914
68967.51
67849.625
69860.195
75395.83
80840.76
86613.734
88729.56
90005.02
94948.305
99639.76
98866.48
106599.555
101272.24
116042.24
123123.516
127544.62
132403.02
136956.73
140647.23
148919.3
151619.1
154829.7
161014.81
169696.03
170681.95
185605.05
