Indicator Code: CG1110
"Indicator Name: Respiratory diseases"
Export date: 5/7/2024 5:14:26 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: J30-J98"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,BGR,Bulgaria,1990,All,Age_all,[All],2670.00000000,2.45838244,20.45206443,29.69702362,
EU,Europe,BGR,Bulgaria,1991,All,Age_all,[All],2660.00000000,2.40891843,20.09884142,29.61478513,
EU,Europe,BGR,Bulgaria,1992,All,Age_all,[All],2801.00000000,2.59356655,21.60966723,32.79782675,
EU,Europe,BGR,Bulgaria,1993,All,Age_all,[All],2386.00000000,2.17819974,18.30995223,28.16236441,
EU,Europe,BGR,Bulgaria,1994,All,Age_all,[All],2309.00000000,2.06553535,17.47551552,27.34615567,
EU,Europe,BGR,Bulgaria,1995,All,Age_all,[All],2206.00000000,1.92378129,16.45367954,26.24284746,
EU,Europe,BGR,Bulgaria,1996,All,Age_all,[All],2196.00000000,1.87602515,16.49633418,26.25914765,
EU,Europe,BGR,Bulgaria,1997,All,Age_all,[All],2348.00000000,1.92678544,17.97178949,28.24831569,
EU,Europe,BGR,Bulgaria,1998,All,Age_all,[All],2211.00000000,1.87071664,17.11068433,26.77792850,
EU,Europe,BGR,Bulgaria,1999,All,Age_all,[All],1971.00000000,1.76319038,14.79404464,24.00555380,
EU,Europe,BGR,Bulgaria,2000,All,Age_all,[All],2110.00000000,1.83339561,15.51711103,25.82564969,
EU,Europe,BGR,Bulgaria,2001,All,Age_all,[All],1930.00000000,1.71757084,14.19075043,24.38931617,
EU,Europe,BGR,Bulgaria,2002,All,Age_all,[All],1698.00000000,1.50776526,12.51819184,21.57861963,
EU,Europe,BGR,Bulgaria,2003,All,Age_all,[All],1806.00000000,1.61355169,12.87104606,23.08412912,
EU,Europe,BGR,Bulgaria,2004,All,Age_all,[All],1701.00000000,1.54481882,12.27477279,21.86049100,
EU,Europe,BGR,Bulgaria,2005,All,Age_all,[All],2587.00000000,2.28182829,18.29602030,33.42420445,
EU,Europe,BGR,Bulgaria,2006,All,Age_all,[All],2492.00000000,2.19679472,17.16269881,32.36775590,
EU,Europe,BGR,Bulgaria,2007,All,Age_all,[All],2689.00000000,2.37956179,17.94926694,35.10552022,
EU,Europe,BGR,Bulgaria,2008,All,Age_all,[All],2609.00000000,2.36059463,17.66309528,34.22359723,
EU,Europe,BGR,Bulgaria,2009,All,Age_all,[All],2498.00000000,2.31150757,17.36933469,32.93285245,
EU,Europe,BGR,Bulgaria,2010,All,Age_all,[All],2583.00000000,2.34466482,17.75121932,34.28326150,
EU,Europe,BGR,Bulgaria,2011,All,Age_all,[All],2617.00000000,2.41737331,17.37181551,35.28834638,
EU,Europe,BGR,Bulgaria,2012,All,Age_all,[All],2442.00000000,2.23460620,15.93431889,33.42509494,
EU,Europe,BGR,Bulgaria,2013,All,Age_all,[All],2199.00000000,2.10743208,14.22434442,30.26793107,
EU,Europe,BGR,Bulgaria,2014,All,Age_all,[All],2408.00000000,2.21014759,15.68022582,33.33362173,
EU,Europe,HRV,Croatia,1990,All,Age_all,[All],901.00000000,1.72631821,13.39853495,18.85726245,
EU,Europe,HRV,Croatia,1991,All,Age_all,[All],973.00000000,1.77451123,14.25293265,20.32970477,
EU,Europe,HRV,Croatia,1992,All,Age_all,[All],965.00000000,1.86293436,14.21281157,20.17899711,
