Indicator Code: CG1150
"Indicator Name: Digestive diseases"
Export date: 5/7/2024 5:13:47 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: K20-K92"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,BGR,Bulgaria,1990,All,Age_all,[All],3287.00000000,3.02648055,26.50266849,36.55959425,
EU,Europe,BGR,Bulgaria,1991,All,Age_all,[All],3053.00000000,2.76482255,24.34612691,33.99020263,
EU,Europe,BGR,Bulgaria,1992,All,Age_all,[All],3211.00000000,2.97320321,26.73673280,37.59865109,
EU,Europe,BGR,Bulgaria,1993,All,Age_all,[All],3226.00000000,2.94504291,26.64182710,38.07702749,
EU,Europe,BGR,Bulgaria,1994,All,Age_all,[All],3535.00000000,3.16226395,29.47428283,41.86602871,
EU,Europe,BGR,Bulgaria,1995,All,Age_all,[All],3581.00000000,3.12287434,29.83516827,42.60001666,
EU,Europe,BGR,Bulgaria,1996,All,Age_all,[All],3446.00000000,2.94389010,28.03038367,41.20629454,
EU,Europe,BGR,Bulgaria,1997,All,Age_all,[All],3395.00000000,2.78596105,27.75238828,40.84456208,
EU,Europe,BGR,Bulgaria,1998,All,Age_all,[All],3185.00000000,2.69481344,26.27676057,38.57426606,
EU,Europe,BGR,Bulgaria,1999,All,Age_all,[All],2837.00000000,2.53788489,22.81976423,34.55289504,
EU,Europe,BGR,Bulgaria,2000,All,Age_all,[All],2952.00000000,2.56501603,23.54913321,36.13143028,
EU,Europe,BGR,Bulgaria,2001,All,Age_all,[All],2926.00000000,2.60394418,23.34079912,36.97571974,
EU,Europe,BGR,Bulgaria,2002,All,Age_all,[All],2850.00000000,2.53070140,22.48330190,36.21853118,
EU,Europe,BGR,Bulgaria,2003,All,Age_all,[All],2747.00000000,2.45427823,21.87479691,35.11190626,
EU,Europe,BGR,Bulgaria,2004,All,Age_all,[All],2895.00000000,2.62918899,22.63519939,37.20524482,
EU,Europe,BGR,Bulgaria,2005,All,Age_all,[All],3308.00000000,2.91777656,26.04030581,42.73957028,
EU,Europe,BGR,Bulgaria,2006,All,Age_all,[All],3194.00000000,2.81563497,24.87276801,41.48579949,
EU,Europe,BGR,Bulgaria,2007,All,Age_all,[All],3491.00000000,3.08927118,27.12947128,45.57581670,
EU,Europe,BGR,Bulgaria,2008,All,Age_all,[All],3559.00000000,3.22014422,27.34049759,46.68523670,
EU,Europe,BGR,Bulgaria,2009,All,Age_all,[All],3265.00000000,3.02124588,25.26636644,43.04474109,
EU,Europe,BGR,Bulgaria,2010,All,Age_all,[All],3279.00000000,2.97644442,25.17906470,43.52102766,
EU,Europe,BGR,Bulgaria,2011,All,Age_all,[All],3259.00000000,3.01040108,24.87324804,43.94525061,
EU,Europe,BGR,Bulgaria,2012,All,Age_all,[All],3551.00000000,3.24942122,26.52688670,48.60463232,
EU,Europe,BGR,Bulgaria,2013,All,Age_all,[All],3624.00000000,3.47309406,26.86617907,49.88221109,
EU,Europe,BGR,Bulgaria,2014,All,Age_all,[All],3852.00000000,3.53550187,28.94447053,53.32272047,
EU,Europe,HRV,Croatia,1990,All,Age_all,[All],2539.00000000,4.86473023,39.96273234,53.13938887,
EU,Europe,HRV,Croatia,1991,All,Age_all,[All],2706.00000000,4.93507441,42.65604244,56.53872673,
EU,Europe,HRV,Croatia,1992,All,Age_all,[All],2362.00000000,4.55984556,36.96781623,49.39149346,
EU,Europe,HRV,Croatia,1993,All,Age_all,[All],2377.00000000,4.67490068,37.22639687,49.74156151,
EU,Europe,HRV,Croatia,1994,All,Age_all,[All],2393.00000000,4.83610202,37.70070786,50.09420138,
EU,Europe,HRV,Croatia,1995,All,Age_all,[All],2344.00000000,4.63827766,35.63275863,49.07872697,
EU,Europe,HRV,Croatia,1996,All,Age_all,[All],2429.00000000,4.79698238,39.65134291,54.05465551,
EU,Europe,HRV,Croatia,1997,All,Age_all,[All],2416.00000000,4.64937264,39.21430935,52.83877176,
EU,Europe,HRV,Croatia,1998,All,Age_all,[All],2543.00000000,4.86131024,42.29455002,56.49604550,
EU,Europe,HRV,Croatia,1999,All,Age_all,[All],2647.00000000,5.09498970,43.17764328,58.12727832,
EU,Europe,HRV,Croatia,2000,All,Age_all,[All],2507.00000000,4.98945190,41.83225832,57.21915370,
EU,Europe,HRV,Croatia,2001,All,Age_all,[All],2371.00000000,4.78487246,34.82711650,53.43146755,
EU,Europe,HRV,Croatia,2002,All,Age_all,[All],2394.00000000,4.73412565,34.08091062,53.88008642,
EU,Europe,HRV,Croatia,2003,All,Age_all,[All],2372.00000000,4.51165002,33.06650901,53.40177406,
EU,Europe,HRV,Croatia,2004,All,Age_all,[All],2370.00000000,4.76324463,32.09618646,53.38559265,
EU,Europe,HRV,Croatia,2005,All,Age_all,[All],2360.00000000,4.55686426,31.81722128,53.12986696,
EU,Europe,HRV,Croatia,2006,All,Age_all,[All],2321.00000000,4.60716980,30.67100719,52.27451576,
EU,Europe,HRV,Croatia,2007,All,Age_all,[All],2355.00000000,4.49710696,30.90424979,53.08858332,
EU,Europe,HRV,Croatia,2008,All,Age_all,[All],2433.00000000,4.66529884,31.59850617,54.86516204,
EU,Europe,HRV,Croatia,2009,All,Age_all,[All],2430.00000000,4.63616591,30.77348720,54.86469193,
EU,Europe,HRV,Croatia,2010,All,Age_all,[All],2459.00000000,4.72013206,30.35336719,55.66142822,
EU,Europe,HRV,Croatia,2011,All,Age_all,[All],2314.00000000,4.53556518,28.05928509,52.55760668,
EU,Europe,HRV,Croatia,2012,All,Age_all,[All],2267.00000000,4.38406498,27.24849086,53.12171504,
EU,Europe,HRV,Croatia,2013,All,Age_all,[All],2152.00000000,4.27102767,25.28068459,50.56760492,
EU,Europe,HRV,Croatia,2014,All,Age_all,[All],2149.00000000,4.22706977,25.20231893,50.70322710,
EU,Europe,CZE,Czechia,1990,All,Age_all,[All],5023.00000000,3.88879426,36.60352682,48.47145559,
EU,Europe,CZE,Czechia,1991,All,Age_all,[All],4673.00000000,3.75975541,34.13750618,45.33064305,
EU,Europe,CZE,Czechia,1992,All,Age_all,[All],4435.00000000,3.68548327,32.20348461,42.98396945,
EU,Europe,CZE,Czechia,1993,All,Age_all,[All],4154.00000000,3.51482845,29.78653599,40.21024713,
EU,Europe,CZE,Czechia,1994,All,Age_all,[All],4466.00000000,3.80496366,31.43317763,43.20736828,
EU,Europe,CZE,Czechia,1995,All,Age_all,[All],4320.00000000,3.66371817,30.50604778,41.81670345,
EU,Europe,CZE,Czechia,1996,All,Age_all,[All],4142.00000000,3.67257186,29.02764814,40.15355682,
EU,Europe,CZE,Czechia,1997,All,Age_all,[All],4017.00000000,3.56293905,28.06862205,38.98637370,
EU,Europe,CZE,Czechia,1998,All,Age_all,[All],4158.00000000,3.79632419,28.45082704,40.38853813,
EU,Europe,CZE,Czechia,1999,All,Age_all,[All],4245.00000000,3.86724729,28.48218931,41.28259429,
EU,Europe,CZE,Czechia,2000,All,Age_all,[All],4239.00000000,3.88895515,28.20320594,41.26550267,
EU,Europe,CZE,Czechia,2001,All,Age_all,[All],4418.00000000,4.10004176,28.95387310,42.94539713,
EU,Europe,CZE,Czechia,2002,All,Age_all,[All],4434.00000000,4.09633879,28.99384086,43.46728984,
EU,Europe,CZE,Czechia,2003,All,Age_all,[All],4606.00000000,4.13881101,29.85757039,45.14955471,
EU,Europe,CZE,Czechia,2004,All,Age_all,[All],4537.00000000,4.23318436,28.96995646,44.45022266,
EU,Europe,CZE,Czechia,2005,All,Age_all,[All],4822.00000000,4.46737942,30.07293256,47.11702807,
EU,Europe,CZE,Czechia,2006,All,Age_all,[All],4729.00000000,4.52791528,28.92965435,46.06178103,
EU,Europe,CZE,Czechia,2007,All,Age_all,[All],4746.00000000,4.53572384,28.50014263,45.97639239,
EU,Europe,CZE,Czechia,2008,All,Age_all,[All],4743.00000000,4.51938103,28.15715043,45.47593544,
EU,Europe,CZE,Czechia,2009,All,Age_all,[All],4809.00000000,4.47677828,27.81408073,45.83714118,
EU,Europe,CZE,Czechia,2010,All,Age_all,[All],4663.00000000,4.36430684,26.50554480,44.33669762,
EU,Europe,CZE,Czechia,2011,All,Age_all,[All],4528.00000000,4.23779575,25.26051070,43.13748205,
EU,Europe,CZE,Czechia,2012,All,Age_all,[All],4490.00000000,4.15014465,24.50394673,42.72412036,
EU,Europe,CZE,Czechia,2013,All,Age_all,[All],4601.00000000,4.21491389,24.73855797,43.77436025,
EU,Europe,CZE,Czechia,2014,All,Age_all,[All],4470.00000000,4.23035064,23.74706299,42.47118444,
EU,Europe,FRA,France,1990,All,Age_all,[All],27033.00000000,5.13739046,29.04362191,47.64775245,
EU,Europe,FRA,France,1991,All,Age_all,[All],26592.00000000,5.06818377,27.89482706,46.60733252,
EU,Europe,FRA,France,1992,All,Age_all,[All],26031.00000000,4.99127567,26.91433339,45.37104173,
EU,Europe,FRA,France,1993,All,Age_all,[All],26113.00000000,4.90603330,26.48100884,45.29229339,
EU,Europe,FRA,France,1994,All,Age_all,[All],25501.00000000,4.90436856,25.48625188,44.04355824,
EU,Europe,FRA,France,1995,All,Age_all,[All],26085.00000000,4.90671873,25.53072550,44.86653560,
EU,Europe,FRA,France,1996,All,Age_all,[All],26400.00000000,4.92744156,25.49321301,45.22499435,
EU,Europe,FRA,France,1997,All,Age_all,[All],26079.00000000,4.91760620,24.87930341,44.49589575,
EU,Europe,FRA,France,1998,All,Age_all,[All],26118.00000000,4.89098376,25.38948760,44.37866806,
EU,Europe,FRA,France,1999,All,Age_all,[All],25443.00000000,4.73394250,24.41901356,43.40129259,
EU,Europe,FRA,France,2000,All,Age_all,[All],23697.00000000,4.46397287,22.41357810,40.23553366,
EU,Europe,FRA,France,2001,All,Age_all,[All],24153.00000000,4.54797090,22.63966603,40.80408907,
EU,Europe,FRA,France,2002,All,Age_all,[All],24077.00000000,4.49919647,22.28428977,40.34467966,
EU,Europe,FRA,France,2003,All,Age_all,[All],24536.00000000,4.44223162,22.31545606,40.78806546,
EU,Europe,FRA,France,2004,All,Age_all,[All],22894.00000000,4.49413940,20.35981689,37.75189930,
EU,Europe,FRA,France,2005,All,Age_all,[All],23165.00000000,4.39133600,20.06490142,37.97795560,
EU,Europe,FRA,France,2006,All,Age_all,[All],23079.00000000,4.47309052,19.35193129,37.46734331,
