Indicator Code: CG0810
"Indicator Name: Neuropsychiatric conditions"
Export date: 5/11/2024 11:05:29 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: F01-F99, G06-G98 (minus G14), U07.0, X41, X42, X44, X45"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,HUN,Hungary,1994,All,Age_all,[All],2721.00000000,1.85241917,20.57364318,26.30674477,
EU,Europe,HUN,Hungary,1995,All,Age_all,[All],2668.00000000,1.83454697,20.32402006,25.83027438,
EU,Europe,HUN,Hungary,1996,All,Age_all,[All],2460.00000000,1.71871725,17.70959567,23.85746503,
EU,Europe,HUN,Hungary,1997,All,Age_all,[All],2592.00000000,1.85894402,18.85836326,25.18831472,
EU,Europe,HUN,Hungary,1998,All,Age_all,[All],2652.00000000,1.88258678,18.74976181,25.83141205,
EU,Europe,HUN,Hungary,1999,All,Age_all,[All],2898.00000000,2.02360170,20.38642882,28.78567939,
EU,Europe,HUN,Hungary,2000,All,Age_all,[All],2623.00000000,1.93435152,18.03869029,26.16662183,
EU,Europe,HUN,Hungary,2001,All,Age_all,[All],2558.00000000,1.93519590,16.50154427,25.10901760,
EU,Europe,HUN,Hungary,2002,All,Age_all,[All],2543.00000000,1.91443391,16.10515371,25.03295974,
EU,Europe,HUN,Hungary,2003,All,Age_all,[All],2646.00000000,1.94812366,17.07317777,26.12159216,
EU,Europe,HUN,Hungary,2004,All,Age_all,[All],2529.00000000,1.90879449,16.17387303,25.02190282,
EU,Europe,HUN,Hungary,2005,All,Age_all,[All],2725.00000000,2.00763269,17.60322166,27.01479568,
EU,Europe,HUN,Hungary,2006,All,Age_all,[All],3745.00000000,2.84567981,22.01193883,37.18461341,
EU,Europe,HUN,Hungary,2007,All,Age_all,[All],4060.00000000,3.05405527,22.87466817,40.37478943,
EU,Europe,HUN,Hungary,2008,All,Age_all,[All],4240.00000000,3.26086121,23.07279475,42.23869886,
EU,Europe,HUN,Hungary,2009,All,Age_all,[All],4349.00000000,3.33476467,23.19429708,43.39171992,
EU,Europe,HUN,Hungary,2010,All,Age_all,[All],4536.00000000,3.47703440,23.17150918,45.35989114,
EU,Europe,HUN,Hungary,2011,All,Age_all,[All],4435.00000000,3.44345666,22.45977090,44.47574628,
EU,Europe,HUN,Hungary,2012,All,Age_all,[All],4800.00000000,3.70828183,23.91778494,48.38533354,
EU,Europe,HUN,Hungary,2013,All,Age_all,[All],4835.00000000,3.81375317,23.73902560,48.87253784,
EU,Europe,HUN,Hungary,2014,All,Age_all,[All],4910.00000000,3.88732305,23.62917473,49.76451553,
EU,Europe,ITA,Italy,1990,All,Age_all,[All],14438.00000000,2.65546948,15.79735073,25.03932447,
EU,Europe,ITA,Italy,1991,All,Age_all,[All],15605.00000000,2.81763636,16.71258218,27.25683255,
EU,Europe,ITA,Italy,1992,All,Age_all,[All],16145.00000000,2.95322761,17.04498474,28.43785232,
EU,Europe,ITA,Italy,1993,All,Age_all,[All],16445.00000000,2.97719805,16.38009326,28.94163715,
