Indicator Code: CG0810
"Indicator Name: Neuropsychiatric conditions"
Export date: 5/11/2024 11:05:29 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: F01-F99, G06-G98 (minus G14), U07.0, X41, X42, X44, X45"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,BGR,Bulgaria,1990,All,Age_all,[All],700.00000000,0.64451974,7.02117317,7.78573653,
EU,Europe,BGR,Bulgaria,1991,All,Age_all,[All],613.00000000,0.55513797,6.23186606,6.82476063,
EU,Europe,BGR,Bulgaria,1992,All,Age_all,[All],648.00000000,0.60001111,6.84852464,7.58764432,
EU,Europe,BGR,Bulgaria,1993,All,Age_all,[All],793.00000000,0.72393646,8.19790442,9.35991407,
EU,Europe,BGR,Bulgaria,1994,All,Age_all,[All],822.00000000,0.73532701,8.47609995,9.73518404,
EU,Europe,BGR,Bulgaria,1995,All,Age_all,[All],923.00000000,0.80491846,9.23926661,10.98012158,
EU,Europe,BGR,Bulgaria,1996,All,Age_all,[All],937.00000000,0.80047157,9.20028291,11.20438131,
EU,Europe,BGR,Bulgaria,1997,All,Age_all,[All],1202.00000000,0.98636972,11.57280582,14.46102021,
EU,Europe,BGR,Bulgaria,1998,All,Age_all,[All],1080.00000000,0.91378289,10.25884535,13.08012790,
EU,Europe,BGR,Bulgaria,1999,All,Age_all,[All],1061.00000000,0.94913495,9.67629736,12.92231993,
EU,Europe,BGR,Bulgaria,2000,All,Age_all,[All],999.00000000,0.86803896,9.00656588,12.22740476,
EU,Europe,BGR,Bulgaria,2001,All,Age_all,[All],1065.00000000,0.94777873,9.62122234,13.45835322,
EU,Europe,BGR,Bulgaria,2002,All,Age_all,[All],922.00000000,0.81870410,8.14881957,11.71701254,
EU,Europe,BGR,Bulgaria,2003,All,Age_all,[All],852.00000000,0.76121043,7.50615428,10.89018716,
