Predicted Respiratory Diseases
162439.36
166414.06
166156.31
168347.95
168381.52
169233.94
170118.78
170761.16
172980.4
174229.84
174556.58
175530.31
176636.83
178679.16
180293.98
180516.03
181453.42
184548.95
188204.86
190611.72
192923.3
195386.31
197789.5
202010.38
203595.77
207879.64
211512.81
215642.53
218017.23
222014.06
