year,plev,ch4
1990,100000.0,1.7166515e-06
1991,100000.0,1.7285241e-06
1992,100000.0,1.7393915e-06
1993,100000.0,1.7425373e-06
1994,100000.0,1.7480293e-06
1995,100000.0,1.7546405e-06
1996,100000.0,1.7567156e-06
1997,100000.0,1.7609692e-06
1998,100000.0,1.7695966e-06
1999,100000.0,1.7775071e-06
2000,100000.0,1.7775371e-06
2001,100000.0,1.7761478e-06
2002,100000.0,1.7784187e-06
2003,100000.0,1.7830148e-06
2004,100000.0,1.7837349e-06
2005,100000.0,1.7829414e-06
2006,100000.0,1.7829786e-06
2007,100000.0,1.7883394e-06
2008,100000.0,1.7976928e-06
2009,100000.0,1.8015028e-06
2010,100000.0,1.8072444e-06
2011,100000.0,1.812456e-06
2012,100000.0,1.8147947e-06
2013,100000.0,1.8218595e-06
2014,100000.0,1.8307104e-06
