year,height,tas
1990,2.0,286.69397
1991,2.0,285.52747
1992,2.0,286.37903
1993,2.0,286.37012
1994,2.0,286.59436
1995,2.0,285.7511
1996,2.0,285.75964
1997,2.0,286.2143
1998,2.0,286.26382
1999,2.0,286.85245
2000,2.0,287.03543
2001,2.0,286.81055
2002,2.0,287.11096
2003,2.0,286.79196
2004,2.0,286.293
2005,2.0,287.193
2006,2.0,286.27905
2007,2.0,287.28656
2008,2.0,287.09268
2009,2.0,287.85883
2010,2.0,286.99536
2011,2.0,287.0279
2012,2.0,286.9868
2013,2.0,287.53564
2014,2.0,287.38538
