Predicted Victims Without External Causes
150666.36
150046.86
149264.14
149016.06
148608.11
148182.92
148005.1
147786.0
148162.53
148849.98
148901.47
148862.55
149118.89
149798.27
150015.28
150070.47
150308.02
151324.47
154349.4
156894.02
161477.33
165314.28
167639.77
172450.55
177696.38
184243.03
190501.45
202841.44
210789.86
217587.83
